gene_name,04_AD_15_NL,01_AD_12_NL,01_AD_10_NL,05_AD_25_LS,02_AD_22_LS,02_CO_48,03_AD_23_LS,01_AD_13_NL,05_AD_25_NL,01_AD_26_LS,04_CO_33,01_AD_22_LS,04_AD_06_LS,05_AD_15_NL,01_AD_26_NL,05_AD_22_LS,01_CO_41,04_AD_15_LS,05_AD_12_NL,01_AD_12_LS,03_CO_33,01_AD_13_LS,05_AD_12_LS,04_CO_56,03_CO_56,05_AD_02_NL,01_AD_10_LS,04_AD_13_NL,03_CO_43,01_AD_22_NL,01_AD_01_LS,01_AD_01_NL,03_AD_23_NL,01_CO_45,05_AD_15_LS,05_AD_22_NL,03_CO_54,02_AD_22_NL,04_AD_13_LS,04_AD_06_NL,05_AD_02_LS,01_CO_48,01_AD_17_LS,01_AD_23_NL,01_CO_55,05_CO_56,05_AD_06_NL,01_AD_11_LS,01_CO_51,05_CO_39,01_CO_57,01_AD_14_NL,01_AD_17_NL,05_CO_46,01_AD_05_NL,02_AD_25_LS,02_AD_15_NL,01_AD_21_NL,01_AD_14_LS,05_CO_45,05_CO_52,01_AD_06_LS,01_CO_31,03_AD_02_NL,05_CO_42,01_AD_07_NL,01_AD_07_LS,01_AD_23_LS,03_AD_02_LS,01_AD_21_LS,01_AD_18_LS,01_AD_18_NL,01_AD_11_NL,02_AD_25_NL,01_AD_05_LS,02_CO_43,01_AD_06_NL,05_AD_06_LS,02_AD_15_LS,05_CO_53,03_AD_12_NL,02_CO_46,02_AD_12_NL,01_CO_42,02_AD_09_LS,01_AD_27_LS,03_AD_22_NL,01_CO_58,03_CO_39,01_AD_20_NL,05_AD_16_LS,01_AD_28_NL,01_AD_15_NL,03_CO_48,01_AD_04_LS,01_AD_20_LS,01_AD_28_LS,01_CO_56,01_CO_60,03_CO_46,03_AD_22_LS,01_CO_32,01_AD_25_NL,02_AD_12_LS,03_CO_42,05_AD_16_NL,02_CO_42,01_CO_54,01_AD_27_NL,03_AD_15_LS,01_AD_15_LS,01_AD_04_NL,03_AD_12_LS,02_AD_09_NL,03_AD_15_NL,01_CO_33,01_AD_25_LS,01_CO_44,01_AD_19_NL,02_CO_54,02_CO_52,03_AD_25_NL,04_AD_25_NL,02_AD_16_LS,05_AD_13_NL,03_AD_25_LS,01_AD_02_LS,02_AD_11_LS,01_AD_30_LS,01_CO_47,01_CO_46,01_AD_02_NL,01_CO_50,05_CO_43,01_CO_43,01_AD_19_LS,01_AD_29_LS,05_AD_13_LS,01_AD_24_NL,02_AD_23_LS,03_AD_13_NL,03_AD_13_LS,02_CO_45,01_AD_24_LS,04_CO_54,01_AD_30_NL,02_AD_17_LS,02_AD_17_NL,02_AD_16_NL,01_AD_03_LS,02_AD_02_NL,02_AD_02_LS,01_AD_29_NL,04_AD_25_LS,01_AD_03_NL,02_AD_23_NL,04_CO_48,04_AD_22_NL,05_CO_48,04_AD_12_LS,04_CO_42,03_AD_06_NL,01_CO_59,03_CO_52,02_AD_13_LS,03_AD_06_LS,05_AD_23_NL,01_CO_52,04_CO_52,02_AD_13_NL,02_AD_06_NL,04_CO_43,01_CO_36,01_CO_49,04_AD_22_LS,04_AD_02_NL,01_CO_53,04_CO_45,03_AD_16_NL,03_AD_16_LS,04_AD_23_NL,02_CO_56,05_CO_54,01_AD_08_LS,01_AD_08_NL,04_AD_02_LS,03_CO_45,02_AD_14_NL,02_AD_14_LS,04_CO_46,04_AD_12_NL,04_AD_23_LS,02_AD_06_LS,02_CO_41
ARL4A,0,0,0,328,33,0,0,0,77,0,0,2,25,230,0,9,0,0,10,0,0,4,23,17,0,0,5,6,0,0,1,0,1,0,42,0,0,132,12,0,0,0,0,0,0,0,0,58,0,60,0,0,0,0,0,0,59,39,0,0,3,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,83,0,0,1,0,0,0,13,246,0,0,0,0,0,0,23,0,0,51,0,0,0,0,0,0,0,0,0,5,0,0,1,0,137,0,15,0,0,34,0,0,0,0,0,24,1,39,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,80,0
SMU1,0,0,0,422,0,0,0,0,0,0,0,15,10,100,8,50,0,0,0,0,0,52,198,1,0,0,43,15,0,0,11,1,0,0,119,0,0,105,2,64,0,0,0,0,0,0,0,13,0,17,0,0,0,0,0,0,29,50,1,0,7,0,0,0,0,0,0,0,24,0,0,0,0,10,0,0,0,21,0,0,0,3,0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,114,82,0,72,0,0,0,0,0,0,0,3,0,11,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,40,0,46,60,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,64,0,96,0,29,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,143,0,0,1,0,0,1,0,728,0,78,0,0,465,0,0,0,3,0
GLIPR2,0,0,0,108,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,7,109,0,0,0,100,21,0,0,0,0,0,0,47,0,0,9,14,0,1,0,0,0,0,0,0,65,0,0,3,0,11,0,0,0,461,20,27,0,241,0,0,0,0,0,0,0,183,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,8,7,0,0,0,0,0,0,26,19,0,8,0,11,0,0,0,0,0,11,0,532,0,0,0,0,18,0,0,1,0,1,22,0,0,0,7,264,0,0,90,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,19,0,4,1,0,0,0,0,0,69,0,0,0,0,1,0,0,19,101,0,0,4,0,0,0,0,135,0,2,2,3,127,0,0,0,240,1
CLTA,0,0,0,64,68,0,0,0,13,25,0,0,83,24,0,146,0,0,0,0,0,1,101,0,0,0,56,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,57,0,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,19,0,0,0,0,0,0,0,7,0,0,0,0,0,0,104,106,0,102,0,0,0,0,0,0,0,1,0,24,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,186,0,0,1,4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,7,0,12,0,1,0,0,0,0,0,0,393,0,1,1,0,0,0,1,16,0,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,175,0
SRGN,1,0,0,995,215,0,9,29,0,0,46,103,437,46,0,234,0,1,0,0,0,977,562,0,0,0,848,59,0,0,32,13,0,0,1159,1,0,0,139,0,41,0,2,1,9,1,2,2798,0,0,0,0,211,0,0,154,9138,420,339,0,4605,0,0,0,0,1,7,2,100,0,0,0,2,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,75,545,0,0,0,1,1,0,2265,902,4,1561,0,33,124,0,0,0,0,175,5,8712,0,0,131,0,8652,0,252,0,0,260,121,1,1,1,24,17065,1,2,2671,0,194,3,0,5,1,0,9,202,0,16,4,0,0,0,135,193,6,0,108,0,113,0,0,0,0,154,99,871,67,0,2,1,0,0,1,130,1674,0,2,1,0,2,0,10,6526,0,1,1,442,2268,1,0,0,5381,0
EGR2,0,0,0,99,4,0,0,0,1,0,0,4,34,57,0,71,0,0,1,0,0,1,72,0,0,0,91,0,0,0,25,0,0,0,8,0,0,61,38,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,214,0,0,0,0,45,0,0,0,0,0,81,0,0,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,5,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,108,0,27,0,0,0,0,0,5,0,0,0,0,84,0,2,0,16,0
VPS26A,0,0,0,198,31,0,0,0,0,0,0,0,53,47,0,37,0,8,0,0,0,51,135,0,0,0,29,26,0,0,24,0,0,0,11,0,0,81,81,1,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,371,55,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,1,0,0,0,0,227,0,0,0,0,0,0,134,133,0,209,0,0,0,0,0,0,0,0,0,153,0,0,0,0,659,0,0,0,1,33,0,0,0,0,0,343,0,14,256,0,0,0,0,1,0,0,1,25,0,0,0,0,0,0,0,0,79,0,28,0,1,0,0,0,0,0,0,35,0,0,0,0,79,0,0,56,164,0,0,0,0,0,0,0,310,0,0,0,1,137,0,0,0,462,0
MED13L,0,0,0,148,0,0,0,0,42,0,0,28,46,3,0,84,0,0,0,0,0,6,116,2,0,0,0,0,0,0,0,0,0,0,51,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,597,0,0,224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,237,0,0,0,0,0,0,0,1,0,18,0,0,0,1,269,0,0,0,0,30,1,0,0,0,0,342,0,0,280,0,107,0,0,1,0,0,0,76,0,0,0,0,0,0,0,0,127,0,6,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,329,0,0,0,70,359,0,0,0,139,0
RNF11,0,0,0,175,0,0,1,0,0,48,0,53,27,150,0,177,0,0,0,0,0,48,151,138,0,0,120,0,0,0,1,0,0,0,0,0,0,156,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,28,0,245,0,0,0,1,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,92,87,0,191,0,2,16,0,0,0,0,0,0,209,0,0,12,0,1119,0,0,0,96,165,0,0,1,0,0,569,0,4,95,0,1,0,0,4,0,0,0,113,0,0,0,0,0,0,0,0,189,0,7,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,1,0,0,82,0,0,0,439,0
ZC3H13,0,0,0,84,0,0,0,0,131,0,0,16,22,51,0,11,0,0,0,0,0,25,76,0,0,0,1,0,0,0,0,0,0,0,9,0,0,43,5,0,0,0,0,0,0,0,0,144,0,0,0,0,12,0,0,0,1,6,0,0,216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,95,0,0,0,0,0,0,44,96,0,19,0,0,0,0,0,0,0,0,0,142,0,0,0,0,427,0,0,0,1,20,0,0,0,0,0,392,0,89,1,0,0,0,0,4,0,0,0,22,0,1,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,134,0,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11,0,22,0,0,91,0,0,0,76,0
