gene_name,04_AD_15_NL,01_AD_12_NL,01_AD_10_NL,05_AD_25_LS,02_AD_22_LS,02_CO_48,03_AD_23_LS,01_AD_13_NL,05_AD_25_NL,01_AD_26_LS,04_CO_33,01_AD_22_LS,04_AD_06_LS,05_AD_15_NL,01_AD_26_NL,05_AD_22_LS,01_CO_41,04_AD_15_LS,05_AD_12_NL,01_AD_12_LS,03_CO_33,01_AD_13_LS,05_AD_12_LS,04_CO_56,03_CO_56,05_AD_02_NL,01_AD_10_LS,04_AD_13_NL,03_CO_43,01_AD_22_NL,01_AD_01_LS,01_AD_01_NL,03_AD_23_NL,01_CO_45,05_AD_15_LS,05_AD_22_NL,03_CO_54,02_AD_22_NL,04_AD_13_LS,04_AD_06_NL,05_AD_02_LS,01_CO_48,01_AD_17_LS,01_AD_23_NL,01_CO_55,05_CO_56,05_AD_06_NL,01_AD_11_LS,01_CO_51,05_CO_39,01_CO_57,01_AD_14_NL,01_AD_17_NL,05_CO_46,01_AD_05_NL,02_AD_25_LS,02_AD_15_NL,01_AD_21_NL,01_AD_14_LS,05_CO_45,05_CO_52,01_AD_06_LS,01_CO_31,03_AD_02_NL,05_CO_42,01_AD_07_NL,01_AD_07_LS,01_AD_23_LS,03_AD_02_LS,01_AD_21_LS,01_AD_18_LS,01_AD_18_NL,01_AD_11_NL,02_AD_25_NL,01_AD_05_LS,02_CO_43,01_AD_06_NL,05_AD_06_LS,02_AD_15_LS,05_CO_53,03_AD_12_NL,02_CO_46,02_AD_12_NL,01_CO_42,02_AD_09_LS,01_AD_27_LS,03_AD_22_NL,01_CO_58,03_CO_39,01_AD_20_NL,05_AD_16_LS,01_AD_28_NL,01_AD_15_NL,03_CO_48,01_AD_04_LS,01_AD_20_LS,01_AD_28_LS,01_CO_56,01_CO_60,03_CO_46,03_AD_22_LS,01_CO_32,01_AD_25_NL,02_AD_12_LS,03_CO_42,05_AD_16_NL,02_CO_42,01_CO_54,01_AD_27_NL,03_AD_15_LS,01_AD_15_LS,01_AD_04_NL,03_AD_12_LS,02_AD_09_NL,03_AD_15_NL,01_CO_33,01_AD_25_LS,01_CO_44,01_AD_19_NL,02_CO_54,02_CO_52,03_AD_25_NL,04_AD_25_NL,02_AD_16_LS,05_AD_13_NL,03_AD_25_LS,01_AD_02_LS,02_AD_11_LS,01_AD_30_LS,01_CO_47,01_CO_46,01_AD_02_NL,01_CO_50,05_CO_43,01_CO_43,01_AD_19_LS,01_AD_29_LS,05_AD_13_LS,01_AD_24_NL,02_AD_23_LS,03_AD_13_NL,03_AD_13_LS,02_CO_45,01_AD_24_LS,04_CO_54,01_AD_30_NL,02_AD_17_LS,02_AD_17_NL,02_AD_16_NL,01_AD_03_LS,02_AD_02_NL,02_AD_02_LS,01_AD_29_NL,04_AD_25_LS,01_AD_03_NL,02_AD_23_NL,04_CO_48,04_AD_22_NL,05_CO_48,04_AD_12_LS,04_CO_42,03_AD_06_NL,01_CO_59,03_CO_52,02_AD_13_LS,03_AD_06_LS,05_AD_23_NL,01_CO_52,04_CO_52,02_AD_13_NL,02_AD_06_NL,04_CO_43,01_CO_36,01_CO_49,04_AD_22_LS,04_AD_02_NL,01_CO_53,04_CO_45,03_AD_16_NL,03_AD_16_LS,04_AD_23_NL,02_CO_56,05_CO_54,01_AD_08_LS,01_AD_08_NL,04_AD_02_LS,03_CO_45,02_AD_14_NL,02_AD_14_LS,04_CO_46,04_AD_12_NL,04_AD_23_LS,02_AD_06_LS,02_CO_41
LAP3,0,0,0,577,3,0,0,24,79,0,0,0,56,386,36,236,0,1,23,0,0,11,171,268,0,0,0,72,0,0,0,0,0,0,2,0,0,680,6,15,5,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,389,558,0,0,13,0,0,0,0,0,0,0,117,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,364,0,1,0,0,0,0,121,2,0,397,0,0,0,0,0,0,0,0,0,124,0,1,0,0,539,0,8,0,20,71,3,0,1,0,74,3990,0,0,302,0,0,0,0,1,0,0,162,21,0,6,1,10,0,0,1,0,2649,0,22,0,113,0,43,0,0,92,61,242,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,108,0,31,0,22,9,0,0,0,270,0
M6PR,0,0,6,16,3,0,0,0,2,0,0,0,8,0,0,11,0,0,0,0,0,1,8,0,0,0,7,9,0,0,3,0,0,0,2,0,0,13,4,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,66,0,14,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,6,36,0,68,0,0,0,0,0,0,0,0,0,20,0,0,0,0,189,0,0,0,0,13,0,0,0,0,0,34,0,0,28,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,18,0,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,18,285,0,0,0,0,0,0,0,136,0,0,0,9,109,0,0,0,112,0
CFLAR,0,0,1,181,61,0,1,0,36,0,0,59,158,34,0,456,0,0,0,0,0,25,657,36,0,0,201,38,0,0,25,0,0,0,4,0,0,75,13,0,0,1,3,0,0,0,13,366,0,3,1,0,0,2,0,0,276,144,190,0,717,1,0,0,0,0,0,0,17,0,0,0,0,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,122,0,0,0,1,0,0,557,506,2,973,0,0,1,0,0,0,0,0,0,652,0,0,46,0,497,0,0,0,0,1648,1,0,0,0,1,869,0,95,2567,1,383,0,5,152,0,0,48,596,0,2,0,0,0,1,0,0,1,0,22,1,93,0,3,0,12,0,0,1114,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,999,0,1,0,2,464,18,0,0,1189,0
RBM5,0,0,0,102,36,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,0,7,44,0,0,0,88,0,0,0,1,0,0,0,4,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,260,308,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,82,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,3,0,6,0,0,0,0,120,0,0,0,0,103,0,0,0,0,1,59,0,144,54,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,3,0,14,0,0,102,3,0,0,182,0
RBM6,0,0,0,289,92,0,4,0,0,0,0,11,14,87,0,1,0,0,0,0,0,0,92,0,3,0,0,2,0,0,0,0,0,0,3,40,0,77,18,14,0,0,0,0,0,0,0,66,0,11,0,0,0,0,0,0,4,25,291,0,77,0,0,0,0,0,0,0,146,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,194,0,77,0,0,0,0,0,0,353,0,0,0,0,0,0,8,289,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,97,0,0,0,0,14,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,46,0,5,0,0,0,0,0,0,0,1,35,0,0,0,0,27,0,0,82,254,0,0,0,0,0,0,0,340,0,0,0,0,504,0,0,0,91,0
PRSS22,0,0,0,3,1,0,0,0,6,0,0,7,75,2,0,50,0,0,0,0,0,6,40,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0,0,0,0,44,0,0,0,0,1,0,0,0,0,114,0,0,17,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,38,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,31,6,0,4,0,1,0,0,0,0,0,19,0,61,0,0,0,0,25,0,0,0,0,40,0,0,0,1,0,33,0,0,92,6,3,0,1,9,0,0,0,102,0,0,1,0,0,0,0,0,6,0,4,0,6,0,15,0,0,1,3,94,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,27,8,0,0,69,0
SLC25A5,0,0,1,838,104,1,64,0,6,0,0,43,113,104,0,1226,41,0,33,0,0,112,972,0,41,0,26,65,0,0,88,35,0,0,18,0,0,675,136,0,0,0,0,0,0,2,0,767,0,313,0,0,0,0,0,1,799,443,0,0,673,0,0,0,1,0,0,0,189,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,93,0,0,0,2143,3,0,0,0,0,80,0,1,953,0,0,0,0,0,0,658,565,0,465,0,1,1,0,0,0,0,37,0,371,1,0,0,1,5084,0,0,2,0,808,0,0,1,58,0,1677,0,377,1478,0,0,0,4,4,0,0,8,89,0,56,1,142,0,0,0,0,530,1,207,113,21,0,0,0,1,1,0,981,0,0,2,0,142,0,0,138,747,0,1,17,0,0,0,0,746,0,0,135,74,675,0,0,0,746,0
DHX33,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,6,0,0,0,0,0,5,1,1,0,0,46,0,0,0,1,0,0,0,0,0,0,41,3,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,97,4,0,8,0,0,0,0,0,0,0,1,0,15,0,0,0,0,4,0,0,0,0,3,0,0,0,1,0,6,0,0,6,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,2,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0
KMT2E,0,0,0,240,82,0,0,0,58,29,0,10,2,90,0,64,0,0,0,0,0,40,109,0,0,30,108,77,0,0,3,0,0,3,67,0,0,96,33,0,0,0,0,0,0,0,0,134,0,0,0,0,129,0,0,0,610,284,151,2,341,0,0,0,0,0,0,0,23,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,40,0,56,74,0,0,0,0,0,0,95,256,0,126,0,0,4,0,0,0,0,2,2,223,0,0,9,0,464,0,0,0,0,137,2,0,0,0,0,514,0,5,150,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,16,0,8,0,0,0,0,0,0,16,0,242,0,0,0,0,0,170,0,2,5,0,0,0,0,0,0,0,398,0,1,0,0,796,0,0,0,514,0
LAMP2,0,0,0,410,13,0,0,0,0,0,1,13,65,55,0,188,0,0,0,0,0,0,112,0,0,0,24,1,0,0,0,0,0,0,24,0,0,80,99,42,0,0,0,0,0,0,0,329,0,0,0,0,1,0,0,0,862,0,0,0,49,0,0,0,0,0,0,0,9,0,0,0,1,152,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,165,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,285,109,0,143,0,1,1,0,0,0,0,0,1,4,0,0,0,0,256,0,9,0,0,2,3,0,0,0,0,1191,0,0,102,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,186,0,20,0,15,0,0,0,0,0,0,6,1,0,0,0,140,0,0,97,29,0,0,0,0,0,0,0,356,0,0,0,0,68,1,0,0,493,0
GDE1,0,0,1,220,2,0,0,0,4,1,0,3,16,38,0,203,0,0,0,0,0,2,195,2,0,0,0,0,0,0,3,2,0,0,4,0,0,192,28,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,2,172,0,0,0,0,0,3,1,0,4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,211,58,0,0,0,0,0,0,0,52,0,0,0,0,0,0,33,117,0,191,0,0,0,0,0,0,0,0,0,196,0,0,0,0,96,0,0,29,0,270,0,0,0,0,0,217,0,63,335,0,0,0,0,1,0,0,0,13,0,1,0,0,2,0,0,0,256,0,7,0,107,0,1,0,3,1,6,19,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,114,0,0,0,0,147,15,0,0,69,0
MAP3K9,0,0,26,69,0,0,20,5,9,0,0,39,4,33,2,247,1,31,0,0,0,38,357,13,0,0,12,7,0,0,1,0,0,0,10,0,0,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,31,0,19,0,0,0,1,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,55,5,0,0,0,0,0,0,186,193,1,354,9,0,1,0,0,0,0,1,0,66,0,0,0,0,163,0,0,36,10,887,0,0,0,0,0,1,0,2,557,0,33,0,0,49,0,0,0,4,0,0,61,0,1,0,0,2,1,0,0,0,2,0,1,0,0,2,0,297,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,266,6,0,0,0,201,297,0,0,192,0
RALA,3,0,0,84,13,0,0,0,1,0,0,0,57,42,0,56,0,1,0,0,0,69,87,22,0,0,106,1,0,0,0,0,0,0,28,0,0,29,45,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,156,227,74,54,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,52,0,0,2,0,0,41,0,0,0,0,0,0,181,0,0,0,0,391,0,282,0,0,0,0,0,0,0,0,303,0,107,109,0,0,0,0,1,0,0,0,27,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,7,228,0,0,0,150,0
KDM7A,0,0,0,51,0,0,0,0,12,0,0,18,37,4,0,77,0,0,0,0,0,49,15,0,0,0,36,0,0,0,1,0,0,0,0,0,0,2,18,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,302,442,0,0,236,0,0,0,0,0,0,0,1,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,205,129,0,87,0,0,0,0,0,0,0,0,0,172,0,0,0,0,389,0,0,0,0,63,0,0,0,0,0,169,0,0,11,0,0,0,2,33,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77,0,95,0,0,274,0,0,0,296,0
GGCT,0,3,57,82,0,0,42,10,27,0,1,47,87,24,0,3285,0,0,0,0,1,5,5168,0,0,1,16,35,0,0,1,0,0,0,0,0,0,78,177,0,0,0,1,0,0,0,0,503,0,0,0,0,0,0,0,0,1,1057,0,0,327,0,0,0,0,0,2,0,870,0,0,0,1,1,0,0,0,0,0,0,0,25,73,0,4,0,0,0,0,2,4,0,0,0,0,0,0,2,403,0,0,0,0,0,0,375,436,1,2031,0,0,68,0,0,1,0,32,0,2998,0,0,0,3,5762,1,0,0,0,4482,96,0,5,0,0,377,0,26,9258,0,0,0,4,399,0,1,1,127,0,0,0,0,3,1,98,0,6,0,32,0,123,0,156,0,0,0,0,2821,0,0,1,0,1,0,0,124,1,0,111,0,0,0,0,0,531,0,0,0,4,91,308,0,0,1656,0
IFRD1,0,0,37,38,0,0,0,0,0,0,0,71,2,3,0,205,0,0,2,0,9,37,232,172,0,0,3,2,0,0,1,0,0,1,1,0,0,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,191,171,0,61,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,34,142,0,428,0,0,0,0,0,0,0,0,0,316,0,0,0,1,415,0,0,2,0,784,0,0,0,0,2,828,0,0,649,0,0,0,0,62,0,0,0,93,0,3,0,101,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,195,0,2,0,132,64,4,0,0,177,0
ADIPOR2,0,0,0,54,9,0,0,0,5,0,0,20,16,0,0,406,0,0,3,0,0,2,344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,114,211,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,69,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,167,159,0,330,0,0,0,0,0,0,0,0,0,294,0,0,0,0,584,0,0,1,0,713,0,0,0,0,0,261,0,0,431,0,1,0,0,84,0,0,0,222,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,461,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,289,34,0,0,6,0
PAFAH1B1,0,0,0,217,6,0,1,0,5,0,0,1,53,39,0,58,0,0,0,0,0,7,259,0,0,0,131,18,0,0,0,0,0,0,1,0,0,117,68,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,188,516,11,0,17,0,0,0,0,0,0,0,0,0,17,0,0,10,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,229,0,0,0,1,0,0,0,40,25,0,0,0,0,0,0,242,9,0,9,0,0,0,0,0,0,0,39,3,241,2,0,0,0,806,0,0,0,1,153,0,1,1,1,0,724,0,46,393,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,214,0,0,0,0,19,0,0,0,6,0,0,0,0,0,0,0,42,0,0,0,1,235,0,0,0,52,0
GAS7,0,31,0,28,1,0,1,0,1,3,0,1,14,11,0,166,0,0,0,0,0,55,416,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,37,0,10,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,369,0,0,127,14,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,141,0,274,0,0,0,0,0,0,0,0,0,72,0,0,0,1,135,0,0,0,0,486,0,0,0,0,0,217,0,1,321,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,5,0,0,0,7,221,19,0,0,16,0
PSMB1,0,0,62,1094,207,0,3,0,267,0,3,103,178,256,62,1679,0,1,0,0,0,3,1894,102,0,0,232,58,0,0,96,60,1,0,49,0,0,741,183,89,0,0,0,0,0,0,0,514,0,149,0,0,0,0,1,0,707,469,162,0,517,0,0,0,0,0,2,0,310,0,0,0,1,226,0,0,0,0,0,0,1,3,0,0,55,0,0,1,0,1274,93,0,0,3,0,0,1,10,717,0,1,0,0,2,0,309,666,0,2871,0,0,96,0,0,0,0,1,0,970,0,0,0,0,6223,0,0,0,4,4743,0,0,2,4,18,2115,0,911,2663,4,214,0,0,25,0,1,144,622,0,8,1,0,1,224,0,0,1271,0,159,134,8,0,0,0,6,192,0,1759,0,0,2,1,10,0,189,2,930,0,0,0,0,0,0,1,1290,0,40,3,0,711,258,0,0,1838,0
JARID2,0,0,0,43,32,0,0,0,7,0,0,38,3,19,0,48,0,0,0,0,0,5,79,0,0,0,93,49,0,0,0,0,0,0,91,0,0,50,20,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,241,259,0,0,293,0,0,0,0,0,0,0,0,0,67,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,14,0,148,0,0,0,0,0,0,0,0,0,319,0,0,0,0,227,0,0,0,0,81,0,0,0,0,0,241,0,0,1,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,103,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,349,0,0,0,0,335,1,0,0,314,0
SPAG9,0,0,0,135,0,0,17,0,1,7,0,75,123,27,0,204,0,38,0,1,0,63,96,0,0,0,50,0,0,0,7,0,0,0,32,0,0,40,86,31,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,150,830,0,0,553,0,0,0,0,0,0,0,2,0,0,1,1,3,0,0,0,0,0,0,0,37,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,116,0,0,0,0,0,0,213,159,0,126,0,102,0,0,0,0,0,0,0,22,0,0,0,0,554,0,80,0,0,299,0,0,0,0,43,766,0,9,238,0,71,0,0,17,0,0,0,307,0,2,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,1,431,0,0,0,0,17,0,0,2,206,0,0,0,0,0,0,0,70,20,0,0,102,611,2,0,0,560,0
SEC62,0,0,0,712,123,0,0,0,17,0,1,56,22,171,0,273,0,0,0,0,0,61,517,0,0,0,66,166,0,0,20,0,0,0,109,0,0,198,56,7,0,0,0,0,25,0,0,681,0,0,0,0,0,1,0,0,1049,335,97,0,413,0,0,0,0,0,0,1,142,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,236,0,0,0,0,0,0,0,42,515,0,0,0,0,0,0,187,586,0,588,0,0,0,0,0,0,0,2,0,686,0,0,0,0,2352,0,0,0,0,2124,0,0,0,0,0,618,0,111,1955,0,90,0,0,76,0,0,0,278,0,20,0,12,1,0,0,0,8,0,40,0,2,39,73,0,0,0,0,519,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,852,0,0,0,0,273,18,0,0,778,0
RPS20,0,0,16,1018,58,0,3,0,52,22,0,34,77,111,0,322,0,0,0,0,0,93,397,36,38,27,77,51,0,0,54,0,2,0,102,1,0,396,35,47,2,0,69,0,0,5,0,220,0,0,0,0,1,0,0,0,480,255,85,0,464,52,0,0,0,0,1,0,103,0,0,0,2,317,0,0,0,0,10,0,0,0,26,0,31,0,0,0,0,231,0,0,0,0,0,0,0,101,762,0,0,1,0,0,0,219,344,51,237,0,0,2,0,0,0,0,19,0,55,0,0,0,1,3797,0,25,0,0,396,55,0,2,0,17,976,0,326,737,0,58,0,71,40,0,0,78,187,0,6,0,66,0,31,57,0,393,0,81,30,0,0,0,0,0,1,0,520,0,0,0,0,0,0,0,55,124,0,0,52,0,1,0,1,256,0,1,57,26,226,53,0,0,485,0
CSDE1,0,14,0,357,144,0,0,0,153,0,0,92,95,174,0,291,0,0,1,0,0,34,512,3,0,0,154,29,0,7,26,0,5,0,75,18,31,622,21,13,0,0,0,0,0,0,7,213,0,0,0,0,6,0,0,0,158,471,0,0,303,0,0,0,0,0,3,0,14,0,0,0,0,33,0,0,0,0,0,0,0,0,0,8,21,97,0,0,0,256,0,0,0,0,0,0,0,61,134,0,0,0,0,0,0,570,103,8,761,0,0,2,0,0,0,0,0,0,192,0,2,0,1,1514,1,0,0,22,686,1,0,1,0,0,922,0,59,904,0,2,0,0,92,0,0,0,4,0,1,4,0,0,0,0,0,568,0,24,0,0,0,1,0,0,0,0,569,0,0,0,0,89,0,0,112,39,0,0,138,0,0,0,0,204,0,14,0,71,707,0,0,0,517,73
FAM76A,0,0,0,505,0,0,15,2,34,0,0,1,1,124,0,0,0,0,0,0,0,13,119,17,0,0,0,13,0,0,0,0,0,0,91,0,0,104,0,27,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,86,0,0,0,0,0,0,0,2,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,1,195,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,138,0,104,0,0,0,0,0,0,0,0,0,157,0,2,0,67,0,0,0,0,15,0,3,0,0,0,0,0,1,0,0,1,0,0,58,0,246,64,113,0,1,0,0,246,0,0,0,0,778,0,153,115,0,633,0,0,0,46,0
VTA1,0,0,0,187,65,0,0,0,0,0,0,0,35,53,0,85,0,0,0,0,0,0,190,0,0,0,0,42,0,0,0,0,0,0,1,0,0,58,7,34,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,330,0,0,0,52,60,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,1,0,118,0,0,0,0,355,0,0,0,0,0,0,0,0,291,0,0,0,0,1,0,74,100,0,178,0,0,0,0,0,0,0,1,0,238,0,0,0,0,872,0,0,0,1,113,79,0,0,0,0,248,0,115,2,0,0,0,0,1,0,0,0,0,0,74,0,0,0,0,0,0,277,0,27,60,0,0,0,0,0,0,43,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,69,0,0,0,0,0,0,77,0
RANBP9,0,0,0,100,0,0,0,0,0,0,0,0,1,23,0,112,0,0,0,0,0,40,202,0,0,0,7,0,0,0,0,0,0,0,40,0,0,57,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,3,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1,0,0,0,0,80,0,0,0,0,0,0,225,52,0,131,0,0,0,0,0,0,0,1,0,171,0,0,0,0,1047,0,0,0,0,48,0,0,0,0,0,357,0,139,7,0,0,0,0,0,2,0,0,75,93,1,0,0,0,0,0,0,1,0,2,0,0,0,57,0,0,0,0,244,0,0,0,0,0,0,0,0,2,0,31,0,0,0,0,0,182,0,0,0,0,89,101,0,0,127,0
ZNF207,0,0,0,154,38,0,12,0,25,0,0,1,69,56,0,47,0,0,0,0,0,2,150,0,0,0,26,48,0,0,1,0,0,0,6,0,0,184,60,0,0,0,0,0,0,0,44,36,0,0,0,0,0,0,0,0,381,176,0,0,89,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,232,1,0,0,0,0,0,0,32,148,0,0,0,1,0,0,252,18,0,195,0,0,1,0,0,0,0,55,43,256,0,0,0,0,791,0,0,0,0,309,0,1,0,0,88,650,0,1,8,0,1,0,0,0,0,0,0,124,0,0,2,0,0,0,0,0,71,0,12,0,2,0,0,0,28,0,142,57,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,262,0,1,0,0,164,0,0,0,261,0
UQCRC1,0,0,0,70,0,0,7,0,1,0,0,36,0,0,0,5,0,0,0,0,0,9,96,0,0,0,0,0,0,0,0,0,0,0,22,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,210,118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,19,23,0,0,0,0,0,0,69,48,0,17,0,0,0,0,0,0,0,82,97,282,0,0,0,0,708,0,0,0,0,81,0,0,2,0,0,318,0,0,102,9,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,109,0,14,0,0,0,0,0,0,0,0,159,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,79,0,0,0,69,522,0,0,0,89,0
